UNNAMED: 0_LEVEL_0,DONALD,DONALD,HILLARY,HILLARY,GARY,GARY,JILL,JILL,WRITE-INS,WRITE-INS.1,TOTAL VOTES
ETOWAH,32353,73.26%,10442,23.64%,835,1.89%,164,0.37%,370,0.84%,44164
FAYETTE,6712,81.37%,1362,16.51%,109,1.32%,24,0.29%,42,0.51%,8249
FRANKLIN,9466,78.62%,2197,18.25%,238,1.98%,54,0.45%,85,0.71%,12040
GENEVA,9994,85.00%,1525,12.97%,149,1.27%,24,0.20%,66,0.56%,11758
GREENE,838,17.17%,4013,82.23%,13,0.27%,5,0.10%,11,0.23%,4880
HALE,3173,39.47%,4775,59.39%,54,0.67%,12,0.15%,26,0.32%,8040
HENRY,5632,69.77%,2292,28.39%,91,1.13%,17,0.21%,40,0.50%,8072
HOUSTON,30728,72.07%,10664,25.01%,779,1.83%,144,0.34%,324,0.76%,42639
JACKSON,16672,79.45%,3673,17.50%,393,1.87%,90,0.43%,156,0.74%,20984
JEFFERSON,134768,44.30%,156873,51.57%,6645,2.18%,1554,0.51%,4351,1.43%,304191
LAMAR,5823,83.59%,1036,14.87%,62,0.89%,15,0.22%,30,0.43%,6966
LAUDERDALE,27899,70.59%,9952,25.18%,987,2.50%,222,0.56%,465,1.18%,39525
LAWRENCE,10833,73.05%,3627,24.46%,250,1.69%,31,0.21%,88,0.59%,14829
LEE,34617,58.48%,21230,35.87%,2030,3.43%,364,0.61%,950,1.60%,59191
LIMESTONE,29067,72.14%,9468,23.50%,1055,2.62%,202,0.50%,502,1.25%,40294
LOWNDES,1751,26.20%,4883,73.06%,32,0.48%,11,0.16%,7,0.10%,6684
MACON,1431,15.66%,7566,82.78%,69,0.75%,49,0.54%,25,0.27%,9140
MADISON,89520,54.79%,62822,38.45%,6621,4.05%,1254,0.77%,3172,1.94%,163389
MARENGO,5233,47.60%,5615,51.07%,104,0.95%,13,0.12%,29,0.26%,10994
MARION,11274,86.83%,1432,11.03%,181,1.39%,26,0.20%,71,0.55%,12984
MARSHALL,29233,82.78%,4917,13.92%,678,1.92%,158,0.45%,330,0.93%,35316
MOBILE,95116,55.06%,72186,41.79%,3291,1.91%,791,0.46%,1353,0.78%,172737
MONROE,5795,56.42%,4332,42.18%,88,0.86%,17,0.17%,39,0.38%,10271
MONTGOMERY,34003,35.46%,58916,61.45%,1486,1.55%,490,0.51%,983,1.03%,95878
MORGAN,37486,74.02%,11254,22.22%,1168,2.31%,218,0.43%,518,1.02%,50644
PERRY,1407,26.66%,3824,72.45%,23,0.44%,6,0.11%,18,0.34%,5278
PICKENS,5456,57.18%,3972,41.63%,49,0.51%,19,0.20%,46,0.48%,9542
PIKE,7693,58.42%,5056,38.40%,257,1.95%,48,0.36%,114,0.87%,13168
RANDOLPH,7705,75.64%,2291,22.49%,124,1.22%,19,0.19%,48,0.47%,10187
RUSSELL,9210,47.83%,9579,49.75%,281,1.46%,68,0.35%,118,0.61%,19256
ST. CLAIR,31651,82.42%,5589,14.55%,684,1.78%,130,0.34%,346,0.90%,38400
SHELBY,73020,72.12%,22977,22.69%,2965,2.93%,480,0.47%,1812,1.79%,101254
SUMTER,1581,24.66%,4746,74.03%,57,0.89%,14,0.22%,13,0.20%,6411
TALLADEGA,20614,61.71%,12121,36.28%,411,1.23%,106,0.32%,155,0.46%,33407
TALLAPOOSA,13594,69.76%,5519,28.32%,233,1.20%,52,0.27%,88,0.45%,19486
TUSCALOOSA,47723,57.71%,31762,38.41%,1873,2.26%,390,0.47%,952,1.15%,82700
WALKER,24266,82.34%,4497,15.26%,455,1.54%,95,0.32%,159,0.54%,29472
WASHINGTON,6042,70.81%,2374,27.82%,73,0.86%,22,0.26%,22,0.26%,8533
WILCOX,1742,28.45%,4339,70.86%,22,0.36%,7,0.11%,13,0.21%,6123
WINSTON,9228,89.48%,872,8.46%,131,1.27%,29,0.28%,53,0.51%,10313
